Order,Family,Genus,Species,Subspecies,Author,FullnameWithAuthor,Category
Monotremata,,,,,"Bonaparte, 1837","Monotremata Bonaparte, 1837",Order
Monotremata,Tachyglossidae,,,,"Gill, 1872","Tachyglossidae Gill, 1872",Family
Monotremata,Tachyglossidae,Tachyglossus,,,"Illiger, 1811","Tachyglossus Illiger, 1811",Genus
Monotremata,Tachyglossidae,Tachyglossus,aculeatus,,"(Shaw, 1792)","Tachyglossus aculeatus (Shaw, 1792)",Species
Monotremata,Tachyglossidae,Tachyglossus,aculeatus,aculeatus,"(Shaw, 1792)","Tachyglossus aculeatus aculeatus (Shaw, 1792)",Subspecies
Monotremata,Tachyglossidae,Tachyglossus,aculeatus,acanthion,"(Collett, 1884)","Tachyglossus aculeatus acanthion (Collett, 1884)",Subspecies
Monotremata,Tachyglossidae,Tachyglossus,aculeatus,lawesii,"Ramsay, 1877","Tachyglossus aculeatus lawesii Ramsay, 1877",Subspecies
Monotremata,Tachyglossidae,Tachyglossus,aculeatus,multiaculeatus,"(W. Rothschild, 1905)","Tachyglossus aculeatus multiaculeatus (W. Rothschild, 1905)",Subspecies
Monotremata,Tachyglossidae,Tachyglossus,aculeatus,setosus,"(E. Geoffroy St. Hilaire, 1803)","Tachyglossus aculeatus setosus (E. Geoffroy St. Hilaire, 1803)",Subspecies
Monotremata,Tachyglossidae,Zaglossus,,,"Gill, 1877","Zaglossus Gill, 1877",Genus
Monotremata,Tachyglossidae,Zaglossus,attenboroughi,,"Flannery and Groves, 1998","Zaglossus attenboroughi Flannery and Groves, 1998",Species
Monotremata,Tachyglossidae,Zaglossus,bartoni,,"(Thomas, 1907)","Zaglossus bartoni (Thomas, 1907)",Species
Monotremata,Tachyglossidae,Zaglossus,bartoni,bartoni,"(Thomas, 1907)","Zaglossus bartoni bartoni (Thomas, 1907)",Subspecies
Monotremata,Tachyglossidae,Zaglossus,bartoni,clunius,"Thomas and W. Rothschild, 1922","Zaglossus bartoni clunius Thomas and W. Rothschild, 1922",Subspecies
Monotremata,Tachyglossidae,Zaglossus,bartoni,diamondi,"Flannery and Groves, 1998","Zaglossus bartoni diamondi Flannery and Groves, 1998",Subspecies
Monotremata,Tachyglossidae,Zaglossus,bartoni,smeenki,"Flannery and Groves, 1998","Zaglossus bartoni smeenki Flannery and Groves, 1998",Subspecies
Monotremata,Tachyglossidae,Zaglossus,bruijni,,"(Peters and Doria, 1876)","Zaglossus bruijni (Peters and Doria, 1876)",Species
Monotremata,Ornithorhynchidae,,,,"Gray, 1825","Ornithorhynchidae Gray, 1825",Family
Monotremata,Ornithorhynchidae,Ornithorhynchus,,,"Blumenbach, 1800","Ornithorhynchus Blumenbach, 1800",Genus
Monotremata,Ornithorhynchidae,Ornithorhynchus,anatinus,,"(Shaw, 1799)","Ornithorhynchus anatinus (Shaw, 1799)",Species
Didelphimorphia,,,,,"Gill, 1872","Didelphimorphia Gill, 1872",Order
Didelphimorphia,Didelphidae,,,,"Gray, 1821","Didelphidae Gray, 1821",Family
Didelphimorphia,Didelphidae,Caluromys,,,"J. A. Allen, 1900","Caluromys J. A. Allen, 1900",Genus
Didelphimorphia,Didelphidae,Caluromys,derbianus,,"(Waterhouse, 1841)","Caluromys derbianus (Waterhouse, 1841)",Species
Didelphimorphia,Didelphidae,Caluromys,derbianus,derbianus,"(Waterhouse, 1841)","Caluromys derbianus derbianus (Waterhouse, 1841)",Subspecies
Didelphimorphia,Didelphidae,Caluromys,derbianus,aztecus,"Thomas, 1913","Caluromys derbianus aztecus Thomas, 1913",Subspecies
Didelphimorphia,Didelphidae,Caluromys,derbianus,centralis,"Hollister, 1914","Caluromys derbianus centralis Hollister, 1914",Subspecies
Didelphimorphia,Didelphidae,Caluromys,derbianus,fervidus,"Thomas, 1913","Caluromys derbianus fervidus Thomas, 1913",Subspecies
Didelphimorphia,Didelphidae,Caluromys,derbianus,nauticus,"Thomas, 1913","Caluromys derbianus nauticus Thomas, 1913",Subspecies
Didelphimorphia,Didelphidae,Caluromys,derbianus,pallidus,"Thomas, 1899","Caluromys derbianus pallidus Thomas, 1899",Subspecies
Didelphimorphia,Didelphidae,Caluromys,lanatus,,"(Olfers, 1818)","Caluromys lanatus (Olfers, 1818)",Species
Didelphimorphia,Didelphidae,Caluromys,lanatus,lanatus,"(Olfers, 1818)","Caluromys lanatus lanatus (Olfers, 1818)",Subspecies
Didelphimorphia,Didelphidae,Caluromys,lanatus,cicur,"Bangs, 1898","Caluromys lanatus cicur Bangs, 1898",Subspecies
Didelphimorphia,Didelphidae,Caluromys,lanatus,nattereri,"Matschie, 1917","Caluromys lanatus nattereri Matschie, 1917",Subspecies
Didelphimorphia,Didelphidae,Caluromys,lanatus,ochropus,"Wagner, 1842","Caluromys lanatus ochropus Wagner, 1842",Subspecies
Didelphimorphia,Didelphidae,Caluromys,lanatus,ornatus,"Tschudi, 1845","Caluromys lanatus ornatus Tschudi, 1845",Subspecies
Didelphimorphia,Didelphidae,Caluromys,lanatus,vitalinus,"Miranda-Ribeiro, 1936","Caluromys lanatus vitalinus Miranda-Ribeiro, 1936",Subspecies
Didelphimorphia,Didelphidae,Caluromys,philander,,"(Linnaeus, 1758)","Caluromys philander (Linnaeus, 1758)",Species
Didelphimorphia,Didelphidae,Caluromys,philander,philander,"(Linnaeus, 1758)","Caluromys philander philander (Linnaeus, 1758)",Subspecies
Didelphimorphia,Didelphidae,Caluromys,philander,affinis,"Wagner, 1842","Caluromys philander affinis Wagner, 1842",Subspecies
Didelphimorphia,Didelphidae,Caluromys,philander,dichurus,"Wagner, 1842","Caluromys philander dichurus Wagner, 1842",Subspecies
Didelphimorphia,Didelphidae,Caluromys,philander,trinitatis,"Thomas, 1894","Caluromys philander trinitatis Thomas, 1894",Subspecies
Didelphimorphia,Didelphidae,Caluromysiops,,,"Sanborn, 1951","Caluromysiops Sanborn, 1951",Genus
Didelphimorphia,Didelphidae,Caluromysiops,irrupta,,"Sanborn, 1951","Caluromysiops irrupta Sanborn, 1951",Species
Didelphimorphia,Didelphidae,Glironia,,,"Thomas, 1912","Glironia Thomas, 1912",Genus
Didelphimorphia,Didelphidae,Glironia,venusta,,"Thomas, 1912","Glironia venusta Thomas, 1912",Species
Didelphimorphia,Didelphidae,Chironectes,,,"Illiger, 1811","Chironectes Illiger, 1811",Genus
Didelphimorphia,Didelphidae,Chironectes,minimus,,"(Zimmermann, 1780)","Chironectes minimus (Zimmermann, 1780)",Species
Didelphimorphia,Didelphidae,Chironectes,minimus,minimus,"(Zimmermann, 1780)","Chironectes minimus minimus (Zimmermann, 1780)",Subspecies
Didelphimorphia,Didelphidae,Chironectes,minimus,argyrodytes,"Dickey, 1928","Chironectes minimus argyrodytes Dickey, 1928",Subspecies
Didelphimorphia,Didelphidae,Chironectes,minimus,langsdorffi,"Boitard, 1845","Chironectes minimus langsdorffi Boitard, 1845",Subspecies
Didelphimorphia,Didelphidae,Chironectes,minimus,panamensis,"Goldman, 1914","Chironectes minimus panamensis Goldman, 1914",Subspecies
Didelphimorphia,Didelphidae,Didelphis,,,"Linnaeus, 1758","Didelphis Linnaeus, 1758",Genus
Didelphimorphia,Didelphidae,Didelphis,albiventris,,"Lund, 1840","Didelphis albiventris Lund, 1840",Species
Didelphimorphia,Didelphidae,Didelphis,aurita,,"(Wied-Neuwied, 1826)","Didelphis aurita (Wied-Neuwied, 1826)",Species
Didelphimorphia,Didelphidae,Didelphis,imperfecta,,"Mondolfi and Pérez-Hernández, 1984","Didelphis imperfecta Mondolfi and Pérez-Hernández, 1984",Species
Didelphimorphia,Didelphidae,Didelphis,marsupialis,,"Linnaeus, 1758","Didelphis marsupialis Linnaeus, 1758",Species
Didelphimorphia,Didelphidae,Didelphis,marsupialis,marsupialis,"Linnaeus, 1758","Didelphis marsupialis marsupialis Linnaeus, 1758",Subspecies
Didelphimorphia,Didelphidae,Didelphis,marsupialis,caucae,"J. A. Allen, 1900","Didelphis marsupialis caucae J. A. Allen, 1900",Subspecies
Didelphimorphia,Didelphidae,Didelphis,pernigra,,"J. A. Allen, 1900","Didelphis pernigra J. A. Allen, 1900",Species
Didelphimorphia,Didelphidae,Didelphis,virginiana,,"Kerr, 1792","Didelphis virginiana Kerr, 1792",Species
Didelphimorphia,Didelphidae,Didelphis,virginiana,virginiana,"Kerr, 1792","Didelphis virginiana virginiana Kerr, 1792",Subspecies
Didelphimorphia,Didelphidae,Didelphis,virginiana,californica,"Bennett, 1833","Didelphis virginiana californica Bennett, 1833",Subspecies
Didelphimorphia,Didelphidae,Didelphis,virginiana,pigra,"Bangs, 1898","Didelphis virginiana pigra Bangs, 1898",Subspecies
Didelphimorphia,Didelphidae,Didelphis,virginiana,yucatanensis,"J. A. Allen, 1901","Didelphis virginiana yucatanensis J. A. Allen, 1901",Subspecies
Didelphimorphia,Didelphidae,Gracilinanus,,,"Gardner and Creighton, 1989","Gracilinanus Gardner and Creighton, 1989",Genus
Didelphimorphia,Didelphidae,Gracilinanus,aceramarcae,,"(Tate, 1931)","Gracilinanus aceramarcae (Tate, 1931)",Species
Didelphimorphia,Didelphidae,Gracilinanus,agilis,,"(Burmeister, 1854)","Gracilinanus agilis (Burmeister, 1854)",Species
Didelphimorphia,Didelphidae,Gracilinanus,agricolai,,"(Moojen, 1943)","Gracilinanus agricolai (Moojen, 1943)",Species
Didelphimorphia,Didelphidae,Gracilinanus,dryas,,"Thomas, 1898","Gracilinanus dryas Thomas, 1898",Species
Didelphimorphia,Didelphidae,Gracilinanus,emiliae,,"Thomas, 1909","Gracilinanus emiliae Thomas, 1909",Species
Didelphimorphia,Didelphidae,Gracilinanus,formosus,,"Shamel, 1930","Gracilinanus formosus Shamel, 1930",Species
Didelphimorphia,Didelphidae,Gracilinanus,ignitus,,"Díaz, Flores, and Barquez, 2002","Gracilinanus ignitus Díaz, Flores, and Barquez, 2002",Species
Didelphimorphia,Didelphidae,Gracilinanus,marica,,"Thomas, 1898","Gracilinanus marica Thomas, 1898",Species
