jorden,kontinent,land,provins,distrikt,provinsfoerkortning,kommentar,iso_land,iso_2_kod,iso_3_kod,län,kommun,rikets_N,rikets_O,latitud,longitud,full_path,parent_path,rank
Earth,Africa,,,,,,,,,,,,,,,Earth|Africa,,jorden
Earth,Africa,Aldabra Islands,,,,,Seychelles,SC,,,,,,,,Earth|Africa|Aldabra Islands,Earth,land
Earth,Africa,Algeria,,,,,Algeria,DZ,,,,,,,,Earth|Africa|Algeria,Earth,land
Earth,Africa,Algeria,Adrar,,,,Algeria,DZ,,,,,,,,Earth|Africa|Algeria|Adrar,Earth|Algeria,provins
Earth,Africa,Algeria,Ain Defla,,,,Algeria,DZ,,,,,,,,Earth|Africa|Algeria|Ain Defla,Earth|Algeria,provins
Earth,Africa,Algeria,Ain Temouchent,,,,Algeria,DZ,,,,,,,,Earth|Africa|Algeria|Ain Temouchent,Earth|Algeria,provins
Earth,Africa,Algeria,Alger,,,,Algeria,DZ,,,,,,,,Earth|Africa|Algeria|Alger,Earth|Algeria,provins
Earth,Africa,Algeria,Annaba,,,,Algeria,DZ,,,,,,,,Earth|Africa|Algeria|Annaba,Earth|Algeria,provins
Earth,Africa,Algeria,Batna,,,,Algeria,DZ,,,,,,,,Earth|Africa|Algeria|Batna,Earth|Algeria,provins
Earth,Africa,Algeria,Bechar,,,,Algeria,DZ,,,,,,,,Earth|Africa|Algeria|Bechar,Earth|Algeria,provins
Earth,Africa,Algeria,Bejaia,,,,Algeria,DZ,,,,,,,,Earth|Africa|Algeria|Bejaia,Earth|Algeria,provins
Earth,Africa,Algeria,Biskra,,,,Algeria,DZ,,,,,,,,Earth|Africa|Algeria|Biskra,Earth|Algeria,provins
Earth,Africa,Algeria,Blida,,,,Algeria,DZ,,,,,,,,Earth|Africa|Algeria|Blida,Earth|Algeria,provins
Earth,Africa,Algeria,Bordj Bou Arreridj,,,,Algeria,DZ,,,,,,,,Earth|Africa|Algeria|Bordj Bou Arreridj,Earth|Algeria,provins
Earth,Africa,Algeria,Bouira,,,,Algeria,DZ,,,,,,,,Earth|Africa|Algeria|Bouira,Earth|Algeria,provins
Earth,Africa,Algeria,Boumerdes,,,,Algeria,DZ,,,,,,,,Earth|Africa|Algeria|Boumerdes,Earth|Algeria,provins
Earth,Africa,Algeria,Chlef,,,,Algeria,DZ,,,,,,,,Earth|Africa|Algeria|Chlef,Earth|Algeria,provins
Earth,Africa,Algeria,Constantine,,,,Algeria,DZ,,,,,,,,Earth|Africa|Algeria|Constantine,Earth|Algeria,provins
Earth,Africa,Algeria,Djelfa,,,,Algeria,DZ,,,,,,,,Earth|Africa|Algeria|Djelfa,Earth|Algeria,provins
Earth,Africa,Algeria,El Bayadh,,,,Algeria,DZ,,,,,,,,Earth|Africa|Algeria|El Bayadh,Earth|Algeria,provins
Earth,Africa,Algeria,El Oued,,,,Algeria,DZ,,,,,,,,Earth|Africa|Algeria|El Oued,Earth|Algeria,provins
Earth,Africa,Algeria,El Tarf,,,,Algeria,DZ,,,,,,,,Earth|Africa|Algeria|El Tarf,Earth|Algeria,provins
Earth,Africa,Algeria,Ghardaia,,,,Algeria,DZ,,,,,,,,Earth|Africa|Algeria|Ghardaia,Earth|Algeria,provins
Earth,Africa,Algeria,Guelma,,,,Algeria,DZ,,,,,,,,Earth|Africa|Algeria|Guelma,Earth|Algeria,provins
Earth,Africa,Algeria,Illizi,,,,Algeria,DZ,,,,,,,,Earth|Africa|Algeria|Illizi,Earth|Algeria,provins
Earth,Africa,Algeria,Jijel,,,,Algeria,DZ,,,,,,,,Earth|Africa|Algeria|Jijel,Earth|Algeria,provins
Earth,Africa,Algeria,Khenchela,,,,Algeria,DZ,,,,,,,,Earth|Africa|Algeria|Khenchela,Earth|Algeria,provins
Earth,Africa,Algeria,Laghouat,,,,Algeria,DZ,,,,,,,,Earth|Africa|Algeria|Laghouat,Earth|Algeria,provins
Earth,Africa,Algeria,M'Sila,,,,Algeria,DZ,,,,,,,,Earth|Africa|Algeria|M'Sila,Earth|Algeria,provins
Earth,Africa,Algeria,Mascara,,,,Algeria,DZ,,,,,,,,Earth|Africa|Algeria|Mascara,Earth|Algeria,provins
Earth,Africa,Algeria,Medea,,,,Algeria,DZ,,,,,,,,Earth|Africa|Algeria|Medea,Earth|Algeria,provins
Earth,Africa,Algeria,Mila,,,,Algeria,DZ,,,,,,,,Earth|Africa|Algeria|Mila,Earth|Algeria,provins
Earth,Africa,Algeria,Mostaganem,,,,Algeria,DZ,,,,,,,,Earth|Africa|Algeria|Mostaganem,Earth|Algeria,provins
Earth,Africa,Algeria,Naama,,,,Algeria,DZ,,,,,,,,Earth|Africa|Algeria|Naama,Earth|Algeria,provins
Earth,Africa,Algeria,Oran,,,,Algeria,DZ,,,,,,,,Earth|Africa|Algeria|Oran,Earth|Algeria,provins
Earth,Africa,Algeria,Ouargla,,,,Algeria,DZ,,,,,,,,Earth|Africa|Algeria|Ouargla,Earth|Algeria,provins
Earth,Africa,Algeria,Oum el Bouaghi,,,,Algeria,DZ,,,,,,,,Earth|Africa|Algeria|Oum el Bouaghi,Earth|Algeria,provins
Earth,Africa,Algeria,Relizane,,,,Algeria,DZ,,,,,,,,Earth|Africa|Algeria|Relizane,Earth|Algeria,provins
Earth,Africa,Algeria,Saida,,,,Algeria,DZ,,,,,,,,Earth|Africa|Algeria|Saida,Earth|Algeria,provins
Earth,Africa,Algeria,Setif,,,,Algeria,DZ,,,,,,,,Earth|Africa|Algeria|Setif,Earth|Algeria,provins
Earth,Africa,Algeria,Sidi Bel Abbes,,,,Algeria,DZ,,,,,,,,Earth|Africa|Algeria|Sidi Bel Abbes,Earth|Algeria,provins
